ID                       User               Name           User   Partition   Nodes   Cores   Decl._mem   Mem._%_usage    Eff.   CPU._used   Wall._Used   Wall._Req.              End_Time 
19596247_71      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.1%    00:56:16     00:14:04     00:15:00   2026-03-11 14:45:55 
19596247_97      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.1%    00:56:44     00:14:11     00:15:00   2026-03-11 14:46:02 
19596247_74      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.3%    00:56:48     00:14:12     00:15:00   2026-03-11 14:46:03 
19596247_95      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.1%    00:56:48     00:14:12     00:15:00   2026-03-11 14:46:03 
19596247_99      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.0%    00:56:48     00:14:12     00:15:00   2026-03-11 14:46:03 
19596247_70      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.1%    00:57:00     00:14:15     00:15:00   2026-03-11 14:46:06 
19596247_94      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.1%    00:57:12     00:14:18     00:15:00   2026-03-11 14:46:09 
19596247_78      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.3%    00:57:16     00:14:19     00:15:00   2026-03-11 14:46:10 
19596247_100     plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.1%    00:57:20     00:14:20     00:15:00   2026-03-11 14:46:11 
19596247_86      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.2%    00:57:24     00:14:21     00:15:00   2026-03-11 14:46:12 
19596247_93      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.2%    00:57:24     00:14:21     00:15:00   2026-03-11 14:46:12 
19596247_91      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.4%   99.1%    00:57:28     00:14:22     00:15:00   2026-03-11 14:46:13 
19596247_83      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.3%    00:57:32     00:14:23     00:15:00   2026-03-11 14:46:14 
19596247_84      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.3%    00:57:40     00:14:25     00:15:00   2026-03-11 14:46:16 
19596247_81      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.1%    00:57:44     00:14:26     00:15:00   2026-03-11 14:46:17 
19596247_92      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   99.1%    00:57:48     00:14:27     00:15:00   2026-03-11 14:46:18 
19596247_79      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.4%   98.7%    00:59:12     00:14:48     00:15:00   2026-03-11 14:46:39
